,Attraction Name,Description,Category,Estimated Budget,Min_Budget,Max_Budget,Sentiment_Score,State
15,Talatal Ghar,Explore the historical marvels of Talatal Ghar a magnificent palace built by the Ahom kings showcasing intricate architecture and underground structures.,Historical Landmark,Free,0,0.0,0.8176,Assam
16,Kaziranga Orchid and Biodiversity Park,Discover the rich diversity of orchids and other flora at the Kaziranga Orchid and Biodiversity Park featuring lush gardens and educational exhibits.,Botanical Garden,200-500 /- per person,200,500.0,0.5574,Assam
17,Agneebon Temple,Experience the spiritual aura of Agneebon Temple dedicated to Lord Shiva and known for its serene ambiance and architectural beauty.,Religious Site,Free (Donations Welcome),0,0.0,0.8689,Assam
18,Digboi Oil Refinery,Learn about the history and significance of the Digboi Oil Refinery the oldest operating oil refinery in India through guided tours and interactive exhibits.,Industrial Heritage,300-600 /- per person,300,600.0,0.2732,Assam
19,Gibbon Wildlife Sanctuary,Embark on a wildlife adventure at Gibbon Wildlife Sanctuaryhome to the endangered Hoolock Gibbons and diverse flora and fauna.,Wildlife Sanctuary,1000-1500 /- per person,1000,1500.0,0.3182,Assam
20,Navagraha Temple,Seek blessings at the Navagraha Temple dedicated to the nine celestial bodies in Hindu astrology and explore its architectural splendor and spiritual significance.,Religious Site,Free (Donations Welcome),0,0.0,0.9118,Assam
21,Kaziranga Golf Resort,Indulge in a leisurely game of golf amidst scenic surroundings at the Kaziranga Golf Resort offering world-class facilities and serene ambiance.,Golf Course,1000-1500 /- per person,1000,1500.0,0.4588,Assam
22,Brahmaputra River Cruise,Embark on a memorable Brahmaputra River Cruise offering panoramic views of the river sunset vistas  and cultural performances onboard.,Cruise Experience,3000-1500 /- per person,3000,5000.0,0.0,Assam
23,Garampani Wildlife Sanctuary,Discover the pristine wilderness of Garampani Wildlife Sanctuary known for its hot springs diverse wildlife and lush greenery.,Wildlife Sanctuary,1500-2000 /- per person,1500,2000.0,0.0,Assam
24,Agnigarh Hill,Ascend Agnigarh Hill to enjoy panoramic views of Tezpur town and the Brahmaputra River and explore the legendary love story associated with the hill.,Hill Station,Free,0,0.0,0.8126,Assam
25,Kolia Bhomora Setu,Drive across the scenic Kolia Bhomora Setu a bridge spanning the Brahmaputra River and offering mesmerizing views of the surrounding landscape.,Bridge Viewpoint,Free,0,0.0,0.0,Assam
26,Bhuvaneswari Temple,Pay homage to Goddess Bhuvaneswari at the Bhuvaneswari Temple known for its spiritual significance and architectural grandeur.,Religious Site,Free (Donations Welcome),0,0.0,0.6249,Assam
27,Kamakhya Light and Sound Show,Immerse yourself in the mesmerizing Kamakhya Light and Sound Show depicting the rich history and mythology associated with the Kamakhya Temple.,Cultural Experience,500-1200 /- per person,500,1200.0,0.5574,Assam
28,Nameri National Park,Embark on an adventurous journey through Nameri National Park known for its pristine forests diverse wildlife and thrilling river rafting experiences.,Wildlife Sanctuary,1500-2500 /- per person,1500,2500.0,0.6705,Assam
29,Bogibeel Bridge,Marvel at the engineering marvel of Bogibeel Bridge India's longest rail-cum-road bridge over the Brahmaputra River offering breathtaking views.,Bridge Viewpoint,Free,0,0.0,0.8225,Assam
30,Hollongapar Gibbon Wildlife Sanctuary,Discover the enchanting world of Hoolock Gibbons and other primates at Hollongapar Gibbon Wildlife Sanctuary a haven for wildlife enthusiasts.,Wildlife Sanctuary,1000-1200 /- per person,1000,1200.0,0.34,Assam
31,Dikhowmukh,Explore the serene town of Dikhowmukh known for its picturesque landscapes tea gardens and the confluence of the Dikhow and Brahmaputra rivers.,Scenic Beauty,Free,0,0.0,0.6808,Assam
32,Harmuti,Experience the cultural heritage of Harmuti a town known for its traditional Bihu celebrations vibrant markets and warm hospitality.,Cultural Experience,Free,0,0.0,0.6486,Assam
33,Charaideo Maidams,Explore the ancient burial mounds of Charaideo Maidams the final resting place of Ahom kings and queens amidst serene surroundings and lush greenery.,Historical Landmark,Free,0,0.0,0.4588,Assam
34,Silchar,Discover the charm of Silchar a picturesque town known for its tea gardens vibrant markets and the scenic beauty of Barak Valley.,Scenic Beauty,Free,0,0.0,0.91,Assam
35,Tezpur Bamuni Hills,Ascend Bamuni Hills in Tezpur to admire the ancient ruins of the Bamuni Hills archaeological site featuring intricately carved stone sculptures and relics.,Historical Site,Free,0,0.0,0.0516,Assam
36,Diphu,Experience the cultural diversity of Diphu the headquarters of Karbi Anglong district known for its tribal heritage traditional festivals and scenic landscapes.,Cultural Experience,Free,0,0.0,0.3612,Assam
37,Sadiya,Visit Sadiya a historic town located at the confluence of the Brahmaputra and Lohit rivers known for its archaeological sites religious significance and natural beauty.,Historical Site,Free,0,0.0,0.8126,Assam
38,Tinsukia,Explore the bustling town of Tinsukia known as the commercial hub of Upper Assam and visit attractions such as Dibru-Saikhowa National Park and Digboi Oil Refinery.,City Tour,Free,0,0.0,0.4215,Assam
39,Chandubi Lake,Relax by the tranquil shores of Chandubi Lake surrounded by lush greenery and offering boating and fishing opportunities amidst serene surroundings.,Natural Attraction,Free,0,0.0,0.8271,Assam
40,Sivasagar Tai Ahom Museum,Delve into the history and culture of the Ahom dynasty at the Sivasagar Tai Ahom Museum showcasing artifact manuscripts and royal regalia.,Museum,100-500 /- per person,100,500.0,0.0,Assam
41,Bhalukpong,Embark on an adventure to Bhalukpong a picturesque town nestled amidst hills and rivers offering opportunities for trekkingriver rafting and birdwatching.,Adventure Destination,500-1000 /- per person,500,1000.0,0.7579,Assam
42,Bordumsa,Experience the scenic beauty and tranquility of Bordumsa a charming town known for its tea gardens orange orchards and panoramic views of the Himalayas.,Scenic Beauty,Free,0,0.0,0.886,Assam
43,Dibrugarh University Botanical Garden,Stroll through the lush greenery of Dibrugarh University Botanical Garden home to a diverse collection of plant species and offering a peaceful retreat amidst nature.,Botanical Garden,50-200 /- per person,50,200.0,0.6124,Assam
44,Hailakandi,Explore the cultural heritage of Hailakandi known for its vibrant festivals traditional crafts and architectural landmarks such as the Kachari Fort and Pach Pirr Mosque.,Cultural Experience,Free,0,0.0,0.7096,Assam
45,Jorhat Gymkhana Club,Indulge in a game of golf at the historic Jorhat Gymkhana Club one of the oldest golf clubs in the region offering well-maintained greens and a colonial ambiance.,Golf Course,1000-1500 /- per person,1000,1500.0,0.0,Assam
46,Karimganj,Discover the scenic beauty and cultural richness of Karimganj a town located on the Bangladesh border known for its tea gardens historic sites and religious diversity.,Scenic Beauty,Free,0,0.0,0.7906,Assam
47,North Cachar Hills,Embark on a trekking adventure through the picturesque landscapes of North Cachar Hills offering breathtaking views of valleys waterfalls and diverse flora and fauna.,Adventure Destination,1000-1500 /- per person,1000,1500.0,0.7845,Assam
48,Barak Valley,Explore the scenic beauty and cultural diversity of Barak Valley encompassing the districts of Cachar Karimganj and Hailakandi known for its tea estates waterfalls and historic sites.,Scenic Beauty,Free,0,0.0,0.5859,Assam
49,Jatinga,Visit Jatinga a unique destination known for the mysterious phenomenon of bird suicides that occur during specific weather conditions attracting researchers and tourists alike.,Mystery Destination,Free,0,0.0,0.4767,Assam
50,Tezpur Cole Park,Stroll through the lush gardens of Cole Park in Tezpur offering a tranquil oasis amidst the bustling town with manicured lawns colorful flower beds and shaded walkways.,Park,Free,0,0.0,0.0516,Assam
51,Bongaigaon Refinery,Learn about the petroleum industry at Bongaigaon Refinery one of the largest oil refineries in Assam through guided tours and interactive exhibits showcasing the refining process.,Industrial Heritage,200-600 /- per person,200,600.0,0.0,Assam
52,Tezpur Agnigarh Hill,Ascend Agnigarh Hill in Tezpur to enjoy panoramic views of the Brahmaputra River and the town below and explore the ancient ruins associated with Hindu mythology.,Hill Station,Free,0,0.0,0.0772,Assam
53,Majuli Satras,Explore the traditional Vaishnavite monasteries or Satras of Majuli known for their unique architecture religious rituals and cultural performances such as Sattriya dance.,Cultural Experience,Free,0,0.0,0.0,Assam
54,Tezpur Bamuni Hills,Ascend Bamuni Hills in Tezpur to admire the ancient ruins of the Bamuni Hills archaeological site featuring intricately carved stone sculptures and relics.,Historical Site,Free,0,0.0,0.0516,Assam
55,Diphu,Experience the cultural diversity of Diphu the headquarters of Karbi Anglong district known for its tribal heritage traditional festivals and scenic landscapes.,Cultural Experience,Free,0,0.0,0.3612,Assam
56,Sadiya,Visit Sadiya a historic town located at the confluence of the Brahmaputra and Lohit rivers known for its archaeological sites religious significance and natural beauty.,Historical Site,Free,0,0.0,0.8126,Assam
57,Tinsukia,Explore the bustling town of Tinsukia known as the commercial hub of Upper Assam and visit attractions such as Dibru-Saikhowa National Park and Digboi Oil Refinery.,City Tour,Free,0,0.0,0.4215,Assam
58,Chandubi Lake,Relax by the tranquil shores of Chandubi Lakesurrounded by lush greenery and offering boating and fishing opportunities amidst serene surroundings.,Natural Attraction,Free,0,0.0,0.8271,Assam
59,Sivasagar Tai Ahom Museum,Delve into the history and culture of the Ahom dynasty at the Sivasagar Tai Ahom Museum showcasing artifacts manuscriptsand royal regalia.,Museum,100-500 /- per person,100,500.0,0.0,Assam
60,Bhalukpong,Embark on an adventure to Bhalukpong a picturesque town nestled amidst hills and rivers offering opportunities for trekking river rafting and birdwatching.,Adventure Destination,500-1000 /- per person,500,1000.0,0.7579,Assam
61,Bordumsa,Experience the scenic beauty and tranquility of Bordumsaa charming town known for its tea gardens orange orchards and panoramic views of the Himalayas.,Scenic Beauty,Free,0,0.0,0.886,Assam
62,Dibrugarh University Botanical Garden,Stroll through the lush greenery of Dibrugarh University Botanical Garden home to a diverse collection of plant species and offering a peaceful retreat amidst nature.,Botanical Garden,50-200 /- per person,50,200.0,0.6124,Assam
63,Hailakandi,Explore the cultural heritage of Hailakandi known for its vibrant festivals traditional crafts and architectural landmarks such as the Kachari Fort and Pach Pirr Mosque.,Cultural Experience,Free,0,0.0,0.7096,Assam
64,Jorhat Gymkhana Club,Indulge in a game of golf at the historic Jorhat Gymkhana Clubone of the oldest golf clubs in the region,Adeventure, free,0,0.0,0.0,Assam
65,Bura Chapori Wildlife Sanctuary,Experience the untouched wilderness of Bura Chapori Wildlife Sanctuary a hidden gem in Assam home to diverse flora and fauna and offering tranquil boat rides along the Brahmaputra River.,Wildlife Sanctuary,500-1000 /- per person,500,1000.0,0.0516,Assam
66,Hollongapar Gibbon Wildlife Sanctuary,Discover the enchanting world of Hoolock Gibbons and other primates at Hollongapar Gibbon Wildlife Sanctuarya lesser-known sanctuary perfect for wildlife enthusiasts and nature lovers.,Wildlife Sanctuary,500 -1000/- per person,500,1000.0,0.8591,Assam
67,Kaziranga Orchid and Biodiversity Park,Explore the vibrant world of orchids and other exotic flora at Kaziranga Orchid and Biodiversity Park a hidden botanical gem offering a peaceful retreat amidst nature's splendor.,Botanical Garden,200-800 /- per person,200,1000.0,0.9081,Assam
68,Da Parbatia,Uncover the ancient history of Assam at Da Parbatia an archaeological site featuring intricately carved stone sculptures dating back to the 6th century offering a glimpse into the region's rich cultural heritage.,Historical Site,Free,0,0.0,0.5574,Assam
69,Panimur Waterfalls,Embark on a thrilling trek through the dense forests of Assam to reach the hidden gem of Panimur Waterfalls cascading down from the hills and offering a refreshing escape amidst nature's beauty.,Natural Attraction,200-500 /- per person,200,500.0,0.8271,Assam
70,Dehing Patkai Wildlife Sanctuary,"Immerse yourself in the pristine wilderness of Dehing Patkai Wildlife Sanctuary often referred to as the ""Amazon of the East"" and explore its diverse ecosystems hidden caves and majestic waterfalls.",Wildlife Sanctuary,1000 -2000/- per person,1000,2000.0,0.1779,Assam
71,Chakrashila Wildlife Sanctuary,Discover the biodiversity hotspot of Chakrashila Wildlife Sanctuary home to rare species of flora and fauna including the golden langur and explore its tranquil forestsmeandering rivers and scenic beauty.,Wildlife Sanctuary,500-1500 /- per person,500,1500.0,0.6124,Assam
72,Harmutty,Experience the tranquility of Harmutty a serene village tucked away in the hills of Assam known for its lush tea gardens cascading waterfalls and warm hospitality of the locals.,Scenic Beauty,Free,0,0.0,0.7717,Assam
73,Raimona National Park,Embark on a journey to the remote wilderness of Raimona National Park a hidden gem in Assam's Bodoland region known for its pristine forests diverse wildlife and breathtaking landscapes.,Wildlife Sanctuary,1000-2000 /- per person,1000,2000.0,0.4588,Assam
74,Sankosh River,Explore the unspoiled beauty of the Sankosh River a lesser-known gem in Assam offering opportunities for river rafting fishing and birdwatching amidst serene surroundings and pristine landscapes.,River Adventure,300-600 /- per person,300,600.0,0.8555,Assam
75,Mou Chapori Wildlife Sanctuary,Unravel the hidden treasures of Mou Chapori Wildlife Sanctuary a lesser-known sanctuary nestled along the Brahmaputra River offering sightings of Gangetic dolphins migratory birds and scenic landscapes.,Wildlife Sanctuary,500-1000 /- per person,500,1000.0,0.4215,Assam
76,Dibang Wildlife Sanctuary,Discover the untouched wilderness of Dibang Wildlife Sanctuary tucked away in the Eastern Himalayas of Arunachal Pradesh  bordering Assam and home to rare species of flora and fauna.,Wildlife Sanctuary,1000 -2000/- per person,1000,2000.0,0.0,Assam
77,Garmur Satra,Step back in time at Garmur Satra a lesser-known Vaishnavite monastery in Majuli where you can witness traditional rituals cultural performances  and explore the serene surroundings away from the tourist crowds.,Cultural Experience,Free,0,0.0,0.4588,Assam
78,Hapjan,Experience the rustic charm of Hapjan a quaint tea estate village in Assam  where you can take leisurely walks amidst tea gardens interact with local tea workers and savor authentic Assamese cuisine.,Scenic Beauty,Free,0,0.0,0.4019,Assam
79,Sialmari Tea Estate,Embark on a unique tea tourism experience at Sialmari Tea Estate  a lesser-known tea garden in Assam offering guided tours of the tea plantation tea tasting sessions and insights into the tea-making process.,Tea Tourism,300-500 /- per person,300,500.0,0.0,Assam
80,Kheroni,Discover the hidden gem of Kheroni a picturesque town in Assam's Karbi Anglong district known for its scenic landscapes traditional Karbi culture and warm hospitality of the locals.,Scenic Beauty,Free,0,0.0,0.5423,Assam
81,Kharangi,Unwind amidst nature's tranquility at Kharangi a lesser-known village in Assam offering panoramic views of lush green hills  meandering rivers and the opportunity to experience rural life firsthand.,Scenic Beauty,Free,0,0.0,0.6808,Assam
82,Chaparmukh,Escape the tourist crowds and immerse yourself in the idyllic charm of Chaparmukh a serene town in Assam's Nagaon district known for its verdant landscapes tea gardens and pristine water bodies.,Scenic Beauty,Free,0,0.0,0.7506,Assam
83,Laokhowa Wildlife Sanctuary,Explore the hidden wilderness of Laokhowa Wildlife Sanctuary nestled along the Brahmaputra River and embark on thrilling wildlife safaris to spot elusive species such as the Bengal florican and the golden langur.,Wildlife Sanctuary,500-1000 /- per person,500,1000.0,0.4767,Assam
84,Jogigopha,Discover the hidden gem of Jogigopha  a picturesque village in Assam's Karbi Anglong district known for its lush greenery serene waterfalls and traditional Karbi culture.,Scenic Beauty,Free,0,0.0,0.6808,Assam
85,Dillai Parbat,Embark on a trekking adventure to Dillai Parbat a lesser-known hill station in Assam offering breathtaking views of the surrounding valleys dense forests and the majestic Brahmaputra River.,Hill Station,Free,0,0.0,0.6486,Assam
86,Namdhapa National Park,Explore the remote wilderness of Namdhapa National Park located on the Assam-Arunachal Pradesh border  known for its rich biodiversity rare species of flora and fauna and pristine landscapes.,Wildlife Sanctuary,1000-1500 /- per person,500,1000.0,0.5574,Assam
87,Mayong,"Unravel the mysteries of Mayong often referred to as the ""Land of Black Magic"" where you can explore ancient folklore traditional rituals  and visit the Mayong Central Museum to learn about its mystical past.",Mystery Destination,Free,0,0.0,0.0,Assam
88,Panidihing Bird Sanctuary,Discover the hidden oasis of Panidihing Bird Sanctuary nestled amidst lush wetlands and water bodies offering opportunities for birdwatching nature walks and peaceful retreats amidst nature's beauty.,Bird Sanctuary,200-500 /- per person,200,500.0,0.8625,Assam
89,Nagmandir,Visit Nagmandir a lesser-known temple dedicated to the serpent deity Nag Devta nestled amidst dense forests and scenic landscapes offering a tranquil ambiance and spiritual solace.,Religious Site,Free,0,0.0,0.1779,Assam
90,Khelmati,Experience the serene beauty of Khelmati a quaint village in Assam's Sonitpur district known for its verdant tea gardens gushing streams and the warm hospitality of the locals.,Scenic Beauty,Free,0,0.0,0.8271,Assam
91,Garmur Satra,Step back in time at Garmur Satra a lesser-known Vaishnavite monastery in Majuli where you can witness traditional rituals cultural performances and explore the serene surroundings away from the tourist crowds.,Cultural Experience,Free,0,0.0,0.4588,Assam
92,Hapjan,Experience the rustic charm of Hapjan  a quaint tea estate village in Assam  where you can take leisurely walks amidst tea gardens interact with local tea workers and savor authentic Assamese cuisine.,Scenic Beauty,Free,0,0.0,0.4019,Assam
93,Sialmari Tea Estate,Embark on a unique tea tourism experience at Sialmari Tea Estate a lesser-known tea garden in Assam  offering guided tours of the tea plantation  tea tasting sessions and insights into the tea-making process.,Tea Tourism,300-500 /- per person,300,500.0,0.0,Assam
94,Kheroni,Discover the hidden gem of Kheroni  a picturesque town in Assam's Karbi Anglong district  known for its scenic landscapes traditional Karbi culture and warm hospitality of the locals.,Scenic Beauty,Free,0,0.0,0.5423,Assam
95,Kharangi,Unwind amidst nature's tranquility at Kharang  a lesser-known village in Assam offering panoramic views of lush green hills  meandering rivers  and the opportunity to experience rural life firsthand.,Scenic Beauty,Free,0,0.0,0.6808,Assam
96,Chaparmukh,Escape the tourist crowds and immerse yourself in the idyllic charm of Chaparmukh  a serene town in Assam's Nagaon district known for its verdant landscapes  tea gardens  and pristine water bodies.,Scenic Beauty,Free,0,0.0,0.7506,Assam
97,Laokhowa Wildlife Sanctuary,Explore the hidden wilderness of Laokhowa Wildlife Sanctuary nestled along the Brahmaputra River  and embark on thrilling wildlife safaris to spot elusive species such as the Bengal florican and the golden langur.,Wildlife Sanctuary,500-1000 /- per person,500,1000.0,0.4767,Assam
98,Bherjan-Borajan-Padumoni Wildlife Sanctuary,Embark on a wildlife adventure at Bherjan-Borajan-Padumoni Wildlife Sanctuary known for its rich biodiversity including rare species of birds mammals and reptiles amidst pristine forests and wetlands.,Wildlife Sanctuary,500-1000 /- per person,500,1000.0,0.7096,Assam
99,Barnadi Wildlife Sanctuary,Experience the untouched wilderness of Barnadi Wildlife Sanctuary a lesser-known gem in Assam's Udalguri district  offering opportunities for wildlife spotting nature walks and birdwatching amidst scenic landscapes.,Wildlife Sanctuary,500-1000 /- per person,500,1000.0,0.3818,Assam
100,Dhakuakhana,Immerse yourself in the rural charm of Dhakuakhana a lesser-known town in Assam's Lakhimpur district known for its agricultural landscapes traditional Assamese cuisine and warm hospitality of the locals.,Scenic Beauty,Free,0,0.0,0.5574,Assam
101,Victoria Memorial,Victoria Memorial is a magnificent marble building in Kolkata dedicated to Queen Victoria. It serves as a museum showcasing artifacts from the colonial era and offers stunning views of its surrounding gardens.,Historical Landmark,INR 100-200 per person,100.0,200.0,0.8591,Bengal
102,Sundarbans National Park,Sundarbans National Park is a UNESCO World Heritage Site known for its dense mangrove forests and diverse wildlife including the Bengal tiger. Visitors can explore the park through boat safaris and nature trails.,Wildlife Sanctuary,INR 500-1000 per person,500.0,1000.0,0.0,Bengal
103,Darjeeling Himalayan Railway (Toy Train),The Darjeeling Himalayan Railway also known as the Toy Train is a UNESCO World Heritage Site. It offers a scenic journey through the Himalayan foothills passing through tea plantations and picturesque villages.,Heritage Railway,INR 200-500 per person,200.0,500.0,0.3818,Bengal
104,Howrah Bridge,Howrah Bridge is an iconic cantilever bridge over the Hooghly River in Kolkata. It is one of the busiest bridges in the world connecting Kolkata with Howrah district. Visitors can enjoy panoramic views of the river and city skyline.,Architectural Landmark,Free,0.0,0.0,0.4939,Bengal
105,Sunderbans Tiger Reserve,Sunderbans Tiger Reserve is part of the larger Sundarbans mangrove forest. It is home to the Royal Bengal Tiger and other wildlife species. Visitors can take guided boat tours to spot tigers and explore the unique ecosystem.,Wildlife Sanctuary,INR 500-1000 per person,500.0,1000.0,0.0,Bengal
106,Bishnupur Temples,Bishnupur is known for its terracotta temples built during the Malla dynasty. These temples feature intricate terracotta carvings depicting scenes from Hindu mythology. Visitors can explore the temples and learn about the region's rich heritage.,Religious Landmark,INR 100-200 per person,100.0,200.0,0.6369,Bengal
107,Hooghly Imambara,Hooghly Imambara is a historical Shia Muslim congregation hall and mosque in Hooghly district. It is known for its unique architecture including two towers with clock faces. Visitors can explore the interiors and learn about the region's cultural heritage.,Religious Landmark,INR 50-100 per person,50.0,100.0,0.0,Bengal
108,Bardhaman Rajbari,Bardhaman Rajbari also known as the Rajbati is a historic palace in Bardhaman. It was once the residence of the Maharajas of Bardhaman. Visitors can tour the palace and admire its grand architecture and antique furnishings.,Historical Landmark,INR 50-100 per person,50.0,100.0,0.7269,Bengal
109,Botanical Gardens,Shibpur Botanical Gardens also known as Acharya Jagadish Chandra Bose Indian Botanic Garden is a sprawling botanical garden in Shibpur Howrah. It is home to a diverse collection of plant species including rare orchids and giant banyan trees.,Botanical Garden,INR 50-100 per person,50.0,100.0,0.0,Bengal
110,Digha Beach,Digha Beach is a popular seaside destination along the Bay of Bengal. It offers pristine sandy beaches clear waters and stunning sunsets. Visitors can enjoy swimming sunbathing and beachside activities.,Beach,INR 200-500 per person,200.0,500.0,0.8807,Bengal
111,Belur Math,Belur Math is a spiritual and cultural complex on the banks of the Hooghly River in Kolkata. It is the headquarters of the Ramakrishna Math and Mission. Visitors can explore the temple meditation hall and museum dedicated to Swami Vivekananda.,Religious Landmark,Free,0.0,0.0,0.4588,Bengal
112,Jorasanko Thakur Bari,Jorasanko Thakur Bari is the ancestral home of Rabindranath Tagore now converted into a museum. It showcases the life and works of the Nobel laureate poet and provides insights into Bengali culture and history.,Historical Landmark,INR 50-100 per person,50.0,100.0,0.0,Bengal
113,Dakshineswar Kali Temple,Dakshineswar Kali Temple is a Hindu temple dedicated to Goddess Kali. It is located on the eastern bank of the Hooghly River in Kolkata. The temple complex also includes shrines dedicated to other deities and a bathing ghat.,Religious Landmark,Free,0.0,0.0,0.7184,Bengal
114,Chandannagar Strand,Chandannagar Strand is a picturesque promenade along the banks of the Hooghly River in Chandannagar. It offers scenic views cool breeze and recreational activities like boating and picnicking. Visitors can also explore nearby colonial-era buildings.,Historical ,free,0.0,0.0,0.7506,Bengal
115,Mayapur ISKCON Temple,Mayapur ISKCON Temple is the headquarters of the International Society for Krishna Consciousness (ISKCON) in Mayapur. It is dedicated to Lord Krishna and hosts various spiritual activities and festivals throughout the year.,Religious Landmark,Free,0.0,0.0,0.6705,Bengal
116,Shantiniketan,Shantiniketan is a town in Birbhum district known for its association with Rabindranath Tagore and Visva-Bharati University. It is a center for art culture and education with lush greenery and tranquil surroundings. Visitors can explore Tagore's Ashram and attend cultural events.,Cultural Center,INR 200-500 per person,200.0,500.0,0.0516,Bengal
117,Bakreshwar,Bakreshwar is a pilgrimage site in Birbhum district known for its hot springs and temples dedicated to Lord Shiva. Visitors can take a dip in the holy springs and explore the nearby temples and ashrams.,Pilgrimage Site,INR 50-100 per person,50.0,100.0,0.4588,Bengal
118,Murshidabad Hazarduari Palace,Murshidabad Hazarduari Palace also known as the Palace of a Thousand Doors, Historical,INR 100-200 per person,100.0,200.0,0.0,Bengal
119,Cooch Behar Palace,Cooch Behar Palace is a magnificent palace in Cooch Behar known for its architectural grandeur and royal heritage. Visitors can tour the palace and its museum which showcases royal artifacts paintings and furnishings.,Historical Landmark,INR 100-200 per person,100.0,200.0,0.8074,Bengal
120,Kumortuli,Kumortuli is a traditional potters' quarter in Kolkata known for its clay idols of Hindu gods and goddesses. Visitors can observe artisans at work creating intricate sculptures for festivals like Durga Puja. It offers insights into Kolkata's cultural and artistic heritage.,Cultural Quarter,Free,0.0,0.0,0.7783,Bengal
121,Buxa Tiger Reserve,Buxa Tiger Reserve is a protected area in Alipurduar district known for its rich biodiversity and scenic landscapes. It is home to various wildlife species including the Royal Bengal Tiger. Visitors can explore the reserve through jungle safaris and trekking.,Wildlife Sanctuary,INR 500-1000 per person,500.0,1000.0,0.7579,Bengal
122,Cooch Behar Rajbari,Cooch Behar Rajbari also known as the Victor Jubilee Palace is a royal palace in Cooch Behar. It features a blend of classical European and Mughal architectural styles. Visitors can tour the palace and its gardens.,Historical Landmark,INR 50-100 per person,50.0,100.0,0.0,Bengal
123,Chapramari Wildlife Sanctuary,Chapramari Wildlife Sanctuary is a protected area in Jalpaiguri district known for its,,INR 50-100 per person,50.0,100.0,0.4404,Bengal
124,Marble Palace,Marble Palace is a historic mansion in Kolkata known for its exquisite marble architecture and ornate interiors. It houses a vast collection of sculptures paintings and antiques making it a treasure trove for art enthusiasts.,Historical Landmark,INR 100-200 per person,100.0,200.0,0.5574,Bengal
125,Indian Museum,Indian Museum is the largest and oldest museum in India located in Kolkata. It houses an extensive collection of artifacts including archaeological finds art objects and natural history exhibits,.Museum,INR 50-100 per person,50.0,100.0,0.3612,Bengal
126,Science City,Kolkata Science City is a science museum and educational complex in Kolkata. It features interactive exhibits a space theater and a butterfly garden offering engaging learning experiences for visitors of all ages.,Science Museum,INR 100-200 per person,100.0,200.0,0.34,Bengal
